Barcode_x	Barcode_y	Condition1	Condition2	Type_of_gene_x	Type_of_gene_y	Z_Condition1	Z_Condition2	GI_Condition1	GI_Condition2	Class_Condition1	Class_Condition2	DeltaZ	DeltaGI	DeltaZ_FDR
APT2	CLA4	NoDrug	DMSO	Neutral	DNA_repair	3.66835647176772	1.6711070876513	0.025855906386861	0.0177065584971779	NEUTRAL	NEUTRAL	0.640375255145398	0.0081493478896831	0.738635480440127
APT2	CSM2	NoDrug	DMSO	Neutral	DNA_repair	-0.160577353493824	-1.22377460918276	-0.00116744058778852	-0.0136856464758364	NEUTRAL	NEUTRAL	0.938491433936051	0.0125182058880479	0.713712953295253
CLA4	CSM2	NoDrug	DMSO	DNA_repair	DNA_repair	1.23868456638538	0.945893906389803	0.00676414666841957	0.00754587026816406	NEUTRAL	NEUTRAL	-0.0808610884528572	-0.000781723599744489	0.82222834087866
APT2	CSM3	NoDrug	DMSO	Neutral	DNA_repair	-0.602676615318092	1.24149420515217	-0.00376424541491529	0.0119502667829247	NEUTRAL	NEUTRAL	-1.36950979645846	-0.01571451219784	0.591631084541407
CLA4	CSM3	NoDrug	DMSO	DNA_repair	DNA_repair	-6.35351130507741	-6.75455939974306	-0.0385704072737719	-0.0585980205672083	NEUTRAL	NEUTRAL	1.89146076587786	0.0200276132934364	0.454206776110493
CSM2	CSM3	NoDrug	DMSO	DNA_repair	DNA_repair	-4.45944635758448	-2.56872045695125	-0.0243212523462294	-0.0211121830338978	NEUTRAL	NEUTRAL	-0.325335857563236	-0.00320906931233162	0.77926584018145
APT2	FLO8	NoDrug	DMSO	Neutral	Neutral	0.519795192251017	0.668769308013628	0.00370867017974551	0.00744968505581511	NEUTRAL	NEUTRAL	-0.282800243173741	-0.00374101487606961	0.784642198640123
CLA4	FLO8	NoDrug	DMSO	DNA_repair	Neutral	-1.19665147051133	-0.864298100900222	-0.00663627914299477	-0.00703522767491937	NEUTRAL	NEUTRAL	0.0405046893327468	0.000398948531924603	0.824354418387572
CSM2	FLO8	NoDrug	DMSO	DNA_repair	Neutral	-1.31215625650053	-0.669669284925172	-0.00808634412368473	-0.00636649560180476	NEUTRAL	NEUTRAL	-0.151801408490929	-0.00171984852187997	0.804858651133423
CSM3	FLO8	NoDrug	DMSO	DNA_repair	Neutral	0.0133229618356116	0.386900983432147	6.95484931835899e-05	0.00311643227478393	NEUTRAL	NEUTRAL	-0.317433344549699	-0.00304688378160034	0.779539588176192
APT2	GAL2	NoDrug	DMSO	Neutral	Neutral	-0.441302036663161	-2.01728575955654	-0.00307515702599506	-0.0218631973221446	NEUTRAL	NEUTRAL	1.45815175092223	0.0187880402961495	0.575448412808458
CLA4	GAL2	NoDrug	DMSO	DNA_repair	Neutral	2.60621640615862	1.73489638804508	0.0135064748173857	0.0135014352850697	NEUTRAL	NEUTRAL	0.000538991729917444	5.03953231603162e-06	0.824354418387572
CSM2	GAL2	NoDrug	DMSO	DNA_repair	Neutral	0.763192635805461	-1.05053598106116	0.00473294715005218	-0.0098566226628245	NEUTRAL	NEUTRAL	1.29722491011337	0.0145895698128767	0.607268558587079
CSM3	GAL2	NoDrug	DMSO	DNA_repair	Neutral	3.83263612333637	1.79511527766837	0.0198476411916236	0.0136960071720057	NEUTRAL	NEUTRAL	0.667126454592258	0.00615163401961791	0.738635480440127
FLO8	GAL2	NoDrug	DMSO	Neutral	Neutral	-1.60596154699962	-2.04692666737652	-0.00930922729409809	-0.018623421742012	NEUTRAL	NEUTRAL	0.863390949300954	0.00931419444791387	0.726725238630235
APT2	HO	NoDrug	DMSO	Neutral	Neutral	1.26534369156525	2.62077209845486	0.0083681841177066	0.0267773340460648	NEUTRAL	NEUTRAL	-1.51255460372982	-0.0184091499283582	0.561768502002132
CLA4	HO	NoDrug	DMSO	DNA_repair	Neutral	-2.99681264731193	-1.66870991696306	-0.015208727687138	-0.0125703230642794	NEUTRAL	NEUTRAL	-0.290477439270509	-0.00263840462285859	0.784642198640123
CSM2	HO	NoDrug	DMSO	DNA_repair	Neutral	-0.193374012502821	3.20873328588618	-0.00117765111377234	0.0277435743174724	NEUTRAL	NEUTRAL	-2.73467603428558	-0.0289212254312447	0.215571000089574
